ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,,1500,3000,3000,2500,5000,Total Price
4000,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42500,,,,,,,id:3963,,,,,,62,"Add'l Guest (2,500 THB each)",1 additional guest,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,1500,3000,3000,5000,10000,42500
4001,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23000,,,,,,,id:3963,,,,,,63,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,0,0,0,0,23000
4002,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,33000,,,,,,,id:3963,,,,,,64,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,3000,0,0,0,10000,33000
4003,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,28000,,,,,,,id:3963,,,,,,65,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,0,0,5000,0,28000
4004,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,38000,,,,,,,id:3963,,,,,,66,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,3000,0,0,5000,10000,38000
4005,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26000,,,,,,,id:3963,,,,,,67,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,0,3000,0,0,26000
4006,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,36000,,,,,,,id:3963,,,,,,68,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,3000,0,3000,0,10000,36000
4007,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31000,,,,,,,id:3963,,,,,,69,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,0,3000,5000,0,31000
4008,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,41000,,,,,,,id:3963,,,,,,70,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,3000,0,3000,5000,10000,41000
4009,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26000,,,,,,,id:3963,,,,,,71,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,3000,0,0,0,26000
4010,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,36000,,,,,,,id:3963,,,,,,72,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,3000,3000,0,0,10000,36000
4011,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31000,,,,,,,id:3963,,,,,,73,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,3000,0,5000,0,31000
4012,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,41000,,,,,,,id:3963,,,,,,74,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,3000,3000,0,5000,10000,41000
4013,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,29000,,,,,,,id:3963,,,,,,75,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,3000,3000,0,0,29000
4014,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39000,,,,,,,id:3963,,,,,,76,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,3000,3000,3000,0,10000,39000
4015,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,34000,,,,,,,id:3963,,,,,,77,"Add'l Guest (2,500 THB each)",2 additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,3000,3000,3000,5000,0,34000
